row_id	orders	rider	cost
63120	18	338	0.36209999999999959
85260	101,130	50	9.097377777777778
87960	55,120	339	6.6079999999999988
93810	16	492	0.26400000000000023
157069	40	332	0.32003333333333339
178579	129	59	1.5310666666666657
179599	48,164	242	2.4845444444444453
201909	26	464	1.0569466049382716
223809	117	209	0.96801111111111149
235899	62	211	3.6668200671704465
315489	102	501	1.3449000000000011
320050	15,49,79,181	563	9.516
355509	27	47	2.1377555555555539
359890	1,69,137	212	10.704000000000001
371260	30	220	2.4659999999999993
428409	186	6	1.9111222222222228
464139	13,138,176	207	2.8540000000000001
476500	59,140	487	4.3199999999999994
521102	194	56	7.2160000000000002
531152	122	206	4.1459999999999999
575553	0,121	518	3.8399999999999994
588062	53	223	2.5279999999999996
699542	104	314	2.4466666666666672
713432	76	327	1.2575666666666658
752462	5,143	362	2.2519999999999998
797541	193	428	1.1856111111111121
851929	20,208	19	4.2630352941176461
858619	47,173	525	0.84190967913418091
924859	38	280	0.25
937160	4	26	1.1660000000000004
985040	23	442	1.045290423639222
997880	203	441	5.1921444444444429
1127417	68	340	0.66334444444444429
1130627	85,108	596	3.3147333333333329
1140737	46	13	1.0800000000000001
1159397	84	278	2.2000000000000002
1216067	32	582	2.732779661016949
1225337	168	7	2.3599999999999999
1255278	71,159	341	5.7639999999999993
1262027	65,124,197	351	15.537211111111112
1263557	10,45,92,161	309	14.346100000000002
1346628	139	267	1.1240000000000003
1383587	12	586	3.2532111111111104
1430925	29	78	3.0999999999999996
1446074	28	496	0.95555555555555594
1505473	87,183	461	7.7420444444444456
1535047	67,179	283	7.1260000000000021
1568665	83,154,188	342	6.4488888888888898
1688335	192	83	1.5172222222222222
1698085	109	476	6.0380000000000003
1700577	151	368	5.2800000000000002
1739814	50	87	1.940177777777778
1806744	131	40	2.4344444444444435
1907334	34	182	1.3716555555555558
1907964	39	308	2.0059999999999998
1938433	119,167	61	6.7800000000000011
1991293	134	510	3.3020666666666667
2047653	57	67	0.70975555555555614
2077293	44	134	0.51800000000000068
2165786	2	386	0.14999999999999858
2176048	88,112,199	424	13.722000000000003
2229737	31	584	5.6862248366717063
2257997	3	537	0.21177777777777773
2275726	54,66	150	6.2636222222222218
2281906	113,169	222	2.8504000000000009
2283616	141	227	0.43561111111111211
2347816	177	149	2.1833777777777783
2384356	123,166	162	4.0193777777777768
2386216	77,89,182,195	121	10.528355555555557
2390196	127	402	0.84600000000000009
2410956	150,184	420	1.5039999999999996
2424059	175	511	3.219655555555557
2440829	191	377	2.1201777777777768
2464319	75	365	5.5690666666666679
2476020	36	257	3.790856124823403
2489669	35,110,142,206	598	11.723600000000001
2492819	56	268	2.280277777777779
2507899	52	289	1.8964476345540444
2574884	80,174	93	5.6414888888888886
2593543	178	194	3.0480444444444434
2644422	6,8	513	7.8276999999999992
2738442	9,22,64,91	198	6.251377777777777
2746872	43,73,157,190	482	14.861700000000001
2788062	95	591	2.7441777777777778
2841192	11,82	438	0.92600000000000016
2858705	94,144	41	14.073999999999998
2861195	25,160	58	2.7687111111111102
2898929	51,70	398	2.7733444444444451
2921850	42	447	0.78905227686703183
2944548	149	313	2.8591374727668848
2991401	163	189	3.4640000000000004
3012551	24	54	0.32534444444444466
3028961	81,133	186	4.9116
3059141	128,189	507	0.59584444444444573
3080050	99	521	0.6379999999999999
3153820	60	421	1.3145444444444445
3175479	33,147,170	552	12.2258
3363858	74,90,155	37	6.5925000000000002
3390708	162	81	0.16599999999999993
3420408	145	515	2.4645777777777775
3434560	126	445	1.6908444444444453
3446080	114,202	429	0.84799999999999986
3454720	196	76	0.63552222222222243
3494589	61,107,198	509	8.2667722222222242
3531009	148,172	143	2.0595111111111115
3534308	7,93,135,200	177	13.457222222222224
3574025	146,204	248	6.8007222222222223
3580445	19	96	0.94999999999999929
3659217	78,180	532	5.9068111111111108
3697437	156	38	1.548
3712617	152	367	3.0640555555555569
3744087	165	433	3.4149000000000003
3747268	205	573	2.6334245989304819
3787077	115	108	0.95059410430838998
3813957	58	192	5.9787111111111129
3822747	185	565	2.9624555555555543
3848097	103	471	1.6411747869350573
3913120	72,118	183	2.0078777777777783
3940121	98	118	1.3072111111111113
4019819	153	385	5.1600000000000001
4040819	14	35	1.1760000000000002
4089959	41,207	468	4.7528444444444453
4118129	21	456	1.0135111111111108
4131148	125,132	306	4.9939999999999998
4183186	63	33	0.63400000000000034
4191676	100,136	329	9.4784888888888901
4231786	96	205	1.2949000000000002
4257737	37	407	5.0729844589687731
4278553	116	265	3.4118857114480456
4300863	105,171	231	2.8483666666666663
4441518	17,86,97	304	8.3019999999999996
4478088	111	15	5.0625444444444447
4542408	158	44	3.7747000000000011
4544629	187	469	1.4213777777777787
4598598	106,201	344	3.8165444444444434
