kind	id	value
order	23	1.7163153369418478
order	56	3.9897885895245273
order	63	0.84607334502742737
order	174	2.6534252167359522
order	4	1.4250749775672662
order	6	4.9116307747276711
order	13	1.5091953271657261
order	49	2.4029191105584671
order	85	2.8721889312966744
order	105	1.6362566783607599
order	133	2.9672539330441903
order	138	2.938341147727241
order	35	2.2148391335210027
order	123	3.5625005905009726
order	145	2.5380977715718109
order	198	2.827485960921476
order	26	1.2690199499656987
order	50	2.9904008186746287
order	111	5.8813507930370967
order	190	4.5240465909083358
order	24	1.6294333757411188
order	139	1.1325880790563529
order	148	1.279808397910815
order	79	1.995914806795297
order	81	2.8808561873802754
order	107	2.3102541448336211
order	114	0.85012441589009147
order	76	1.4696400116940929
order	142	3.2471963979025174
order	166	1.8131333757411188
order	177	2.3820733450274272
order	9	0.73104262716530355
order	20	1.9139060989158738
order	90	1.510166945744575
order	152	3.0047752973119386
order	127	1.3892229534495928
order	171	1.6362566783607599
order	113	1.6102295157720836
order	167	4.1617895812496259
order	169	1.358667412334974
order	196	0.84759556724964946
order	17	3.8480980293823652
order	64	1.5113687006546246
order	155	2.7779077553182541
order	15	2.4083487501413194
order	21	1.6458283292571436
order	108	2.0647323287888284
order	202	0.89886292820062386
order	30	3.5120188845152747
order	103	1.8532481319624843
order	106	1.981592563200492
order	104	2.658740011694094
order	149	3.0712108177943116
order	178	4.2470046451092269
order	34	1.5837289005829827
order	109	6.1014967498011785
order	170	4.1694619878537758
order	186	2.1231955672496499
order	82	0.90377675342693142
order	91	3.9176510584644069
order	195	2.7165824592824688
order	38	0.46207334502742697
order	189	2.1906400763664009
order	193	1.9145588327445786
order	205	2.7211878759183712
order	70	2.6390081553349019
order	86	3.364268977780728
order	89	1.9305583318042701
order	96	1.9076998891697843
order	18	0.8705619150518179
order	22	1.5852790645420796
order	60	1.3535892217644738
order	208	3.14244983117631
order	61	3.9317465421701718
order	206	3.8119446350137336
order	176	1.0827386505601382
order	181	2.0111097239583766
order	187	1.7722090168750984
order	97	0.46259421672451362
order	182	3.1324077815574047
order	36	4.2077679377275965
order	125	3.4547122548416276
order	204	4.9268606559667258
order	3	0.22479010290319287
order	1	2.4125151642416669
order	43	5.6782318879353353
order	137	3.5804783443068784
order	200	3.6901970981306276
order	11	1.1931076119735153
order	42	1.3663066197760938
order	77	2.2701784845459727
order	115	1.0909344612138432
order	51	1.733018186423519
order	98	1.3086415791797144
order	110	3.12715500626279
order	28	1.3675975060149783
order	93	1.3127755291788519
order	163	3.9051810054117855
order	8	5.0438381821350786
order	102	1.5569733450274281
order	71	2.5504167361100958
order	157	4.7709142589132467
order	84	3.3443207289625931
order	135	3.3994301896453458
order	40	0.53210667836076042
order	116	3.4462472220365536
order	185	3.665748969277689
order	203	5.0894768562445565
order	74	2.1482554765834365
order	69	4.7297629971745438
order	159	3.3416831393547075
order	57	0.76142794949748094
order	172	1.7385299332614252
order	19	1.2457276411707487
order	48	1.7435232343249791
order	156	2.8022441878526427
order	33	3.6683166784821064
order	55	3.3616147366671534
order	147	4.3939980989648877
order	120	4.169447623322891
order	151	5.3164406757071525
order	126	2.136612588661019
order	75	5.7811400116940952
order	94	9.2605197292415795
order	160	0.8700733450274265
order	16	0.73161759244494207
order	131	2.6465177894718703
order	207	1.7150490468004589
order	5	1.465185892294147
order	29	3.7950641082240661
order	118	2.3800582669542321
order	47	0.63302818459451748
order	201	2.5541784539053864
order	88	5.1743144136588457
order	132	3.4547122548416276
order	164	1.3640733450274278
order	25	2.5097810054117851
order	117	2.917996138319892
order	2	0.36207334502742555
order	31	5.743532092265454
order	173	0.48034648589110712
order	27	2.3264408496634221
order	134	4.9870807144375435
order	136	5.1116413290341773
order	141	0.6476844561385392
order	197	6.8491935235814259
order	41	3.0832508104330443
order	83	3.0183469127849474
order	150	0.943958530212612
